merged_file,original_id,segment_files
304_1.wav,304,"304_AUDIO_1.wav,304_AUDIO_2.wav,304_AUDIO_3.wav,304_AUDIO_4.wav,304_AUDIO_5.wav"
304_2.wav,304,"304_AUDIO_6.wav,304_AUDIO_7.wav,304_AUDIO_8.wav,304_AUDIO_9.wav,304_AUDIO_10.wav"
304_3.wav,304,"304_AUDIO_11.wav,304_AUDIO_12.wav,304_AUDIO_13.wav,304_AUDIO_14.wav,304_AUDIO_15.wav"
304_4.wav,304,"304_AUDIO_16.wav,304_AUDIO_17.wav,304_AUDIO_18.wav,304_AUDIO_19.wav,304_AUDIO_20.wav"
304_5.wav,304,"304_AUDIO_21.wav,304_AUDIO_22.wav,304_AUDIO_23.wav,304_AUDIO_24.wav,304_AUDIO_25.wav"
304_6.wav,304,"304_AUDIO_26.wav,304_AUDIO_27.wav,304_AUDIO_28.wav,304_AUDIO_29.wav,304_AUDIO_30.wav"
304_7.wav,304,"304_AUDIO_31.wav,304_AUDIO_32.wav,304_AUDIO_33.wav,304_AUDIO_34.wav,304_AUDIO_35.wav"
304_8.wav,304,"304_AUDIO_36.wav,304_AUDIO_37.wav,304_AUDIO_38.wav,304_AUDIO_39.wav,304_AUDIO_40.wav"
304_9.wav,304,"304_AUDIO_41.wav,304_AUDIO_42.wav,304_AUDIO_43.wav,304_AUDIO_44.wav,304_AUDIO_45.wav"
304_10.wav,304,"304_AUDIO_46.wav,304_AUDIO_47.wav,304_AUDIO_48.wav,304_AUDIO_49.wav,304_AUDIO_50.wav"
304_11.wav,304,"304_AUDIO_51.wav,304_AUDIO_52.wav,304_AUDIO_53.wav,304_AUDIO_54.wav,304_AUDIO_55.wav"
304_12.wav,304,"304_AUDIO_56.wav,304_AUDIO_57.wav,304_AUDIO_58.wav,304_AUDIO_59.wav,304_AUDIO_60.wav"
304_13.wav,304,"304_AUDIO_61.wav,304_AUDIO_62.wav,304_AUDIO_63.wav,304_AUDIO_64.wav,304_AUDIO_65.wav"
